movieId,actor
80,Aida Mohammadkhani
80,Mohsen Kafili
80,Fereshteh Sadr Orafaee
81,Andy García
81,Christopher Lloyd
81,William Forsythe
82,Willeke van Ammelrooy
82,Els Dottermans
82,Dora van der Groen
83,Al Freeman Jr.
83,Phylicia Rashād
83,Paula Kelly
85,Mark Rylance
85,Kristin Scott Thomas
85,Patsy Kensit
86,Jeff Bridges
86,Caroline Goodall
86,John Savage
87,Sam the Orangutan
87,Jason Alexander
87,Faye Dunaway
88,Chris Farley
88,David Spade
88,Tim Matheson
89,Johnny Depp
89,Courtney Chase
89,Charles S. Dutton
92,Julia Roberts
92,John Malkovich
92,George Cole
93,Angela Bassett
93,Eddie Murphy
93,Allen Payne
94,Timothy Hutton
94,Matt Dillon
94,Noah Emmerich
95,John Travolta
95,Christian Slater
95,Samantha Mathis
96,Michael Maloney
96,Richard Briers
96,Joan Collins
97,Vincent Cassel
97,Hubert Koundé
97,Saïd Taghmaoui
99,Nick Broomfield
99,Heidi Fleiss
99,Madam Alex
100,Al Pacino
100,John Cusack
100,Bridget Fonda
101,Luke Wilson
101,Owen Wilson
101,Robert Musgrave
102,Ellen DeGeneres
102,Bill Pullman
102,Joan Cusack
103,Ray Liotta
103,Linda Fiorentino
103,Peter Coyote
104,Adam Sandler
104,Christopher McDonald
104,Julie Bowen
105,Meryl Streep
105,Clint Eastwood
105,Annie Corley
106,Maria Schrader
106,Pierre Sanoussi-Bliss
106,Michael von Au
107,Tim Curry
107,Billy Connolly
107,Jennifer Saunders
108,Christy Turlington
108,Azzedine Alaïa
108,Giorgio Armani
110,Mel Gibson
110,Catherine McCormack
110,Sophie Marceau
111,Robert De Niro
111,Jodie Foster
111,Cybill Shepherd
112,Jackie Chan
112,Anita Mui Yim-Fong
112,Françoise Yip
113,Meryl Streep
113,Liam Neeson
113,Edward Furlong
116,Kenneth Branagh
116,Glenn Close
116,Anne Frank
117,Hugh O'Conor
117,Antony Sher
117,Ruth Sheen
118,Sarah Jessica Parker
118,Eric Schaeffer
118,Ben Stiller
119,Andy García
119,Alan Arkin
119,Rachel Ticotin
121,Henry Czerny
121,Johnny Morina
121,Brian Dooley
122,Eddie Murphy
122,Robin Givens
122,Halle Berry
123,Takeshi Kaneshiro
123,Brigitte Lin Ching-Hsia
123,Tony Leung Chiu-Wai
125,Ben Stiller
125,Patricia Arquette
125,Téa Leoni
126,Jason James Richter
126,Melody Kay
126,Jack Black
128,Maggie Cogan
129,Josh Charles
129,Anne Heche
129,John Goodman
132,David Caruso
132,Linda Fiorentino
132,Chazz Palminteri
135,Kelsey Grammer
135,Lauren Holly
135,Rob Schneider
137,Dirk Shafer
137,Mary Stein
137,Claudette Sutherland
140,Robert Redford
140,Michelle Pfeiffer
140,Stockard Channing
141,Robin Williams
141,Gene Hackman
141,Nathan Lane
144,Shari Albert
144,Maxine Bahns
144,Catharine Bolz
145,Will Smith
145,Martin Lawrence
145,Téa Leoni
146,Stephen Lang
146,Ryan Slater
146,Ding Yi
147,Leonardo DiCaprio
147,Mark Wahlberg
147,James Madio
148,Alan Rickman
148,Hugh Grant
148,Georgina Cates
149,Isabelle Huppert
149,Martin Donovan
149,Elina Löwensohn
150,Tom Hanks
150,Bill Paxton
150,Kevin Bacon
151,Liam Neeson
151,Jessica Lange
151,John Hurt
152,Lili Taylor
152,Christopher Walken
152,Annabella Sciorra
153,Val Kilmer
153,Tommy Lee Jones
153,Jim Carrey
154,Catherine Deneuve
154,Jean Sorel
154,Michel Piccoli
155,Patricia Arquette
155,U Aung Ko
155,Frances McDormand
156,Harvey Keitel
156,Lou Reed
156,Michael J. Fox
157,John Candy
157,Alan Alda
157,Rhea Perlman
158,Malachi Pearson
158,Christina Ricci
158,Bill Pullman
159,Harvey Keitel
159,John Turturro
159,Delroy Lindo
160,Laura Linney
160,Dylan Walsh
160,Ernie Hudson
161,Denzel Washington
161,Gene Hackman
161,Matt Craven
162,Robert Crumb
162,Aline Kominsky
162,Charles Crumb
163,Antonio Banderas
163,Salma Hayek Pinault
163,Joaquim de Almeida
164,Denzel Washington
164,Tom Sizemore
164,Jennifer Beals
165,Bruce Willis
165,Samuel L. Jackson
165,Jeremy Irons
166,Rose McGowan
166,James Duval
166,Johnathon Schaech
168,Sean Connery
168,Richard Gere
168,Julia Ormond
169,Jason James Richter
169,Michael Madsen
169,Jayne Atkinson
170,Jonny Lee Miller
170,Angelina Jolie
170,Matthew Lillard
171,Steven Weber
171,Patrick Stewart
171,Michael T. Weiss
172,Keanu Reeves
172,Dina Meyer
172,Takeshi Kitano
173,Sylvester Stallone
173,Diane Lane
173,Armand Assante
174,Pauly Shore
174,Tia Carrere
174,Stanley Tucci
175,Leo Fitzpatrick
175,Justin Pierce
175,Chloë Sevigny
176,Steve Buscemi
176,Catherine Keener
176,Dermot Mulroney
177,Scott Bakula
177,Kevin J. O'Connor
177,Famke Janssen
178,Thomas Gibson
178,Ruth Marshall
178,Cameron Bancroft
179,Chris O'Donnell
179,Drew Barrymore
179,Matthew Lillard
180,Jason Lee
180,Jeremy London
180,Shannen Doherty
181,David Yost
181,Steve Cardenas
181,Amy Jo Johnson
183,Marina Zudina
183,Fay Ripley
183,Evan Richards
184,Elina Löwensohn
184,Suzy Amis
184,Galaxy Craze
185,Sandra Bullock
185,Jeremy Northam
185,Dennis Miller
186,Hugh Grant
186,Julianne Moore
186,Tom Arnold
187,Parker Posey
187,Guillermo Díaz
187,Liev Schreiber
188,Christopher Walken
188,Elias Koteas
188,Virginia Madsen
189,Mia Farrow
189,Scott Glenn
189,Mary-Louise Parker
190,Julianne Moore
190,Xander Berkeley
190,Dean Norris
191,Demi Moore
191,Gary Oldman
191,Robert Duvall
193,Elizabeth Berkley
193,Kyle MacLachlan
193,Gina Gershon
194,Harvey Keitel
194,William Hurt
194,Stockard Channing
195,Julia Roberts
195,Dennis Quaid
195,Robert Duvall
196,Natasha Henstridge
196,Ben Kingsley
196,Michael Madsen
198,Ralph Fiennes
198,Angela Bassett
198,Juliette Lewis
199,Catherine Deneuve
199,Nino Castelnuovo
199,Anne Vernon
201,Patrick Swayze
201,Mary Elizabeth Mastrantonio
201,Joseph Mazzello
202,Leonardo DiCaprio
202,David Thewlis
202,Romane Bohringer
203,Patrick Swayze
203,Wesley Snipes
203,John Leguizamo
204,Steven Seagal
204,Eric Bogosian
204,Katherine Heigl
205,Andie MacDowell
205,John Turturro
205,Michael Richards
206,Isaac Mizrahi
206,Sandra Bernhard
206,Naomi Campbell
207,Keanu Reeves
207,Aitana Sánchez-Gijón
207,Anthony Quinn
208,Kevin Costner
208,Dennis Hopper
208,Jeanne Tripplehorn
209,John Travolta
209,Harry Belafonte
209,Kelly Lynch
210,Jeff Bridges
210,Ellen Barkin
210,John Hurt
211,Albert Finney
211,Greta Scacchi
211,Matthew Modine
212,Daniel Stern
212,Jon Polito
212,Brad Sullivan
213,Nikita Mikhalkov
213,Oleg Menshikov
213,Ingeborga Dapkūnaitė
214,Katrin Cartlidge
214,Rade Šerbedžija
214,Grégoire Colin
215,Ethan Hawke
215,Julie Delpy
215,Andrea Eckert
216,Adam Sandler
216,Bradley Whitford
216,Josh Mostel
217,Alicia Silverstone
217,Jeremy London
217,J. T. Walsh
218,Whoopi Goldberg
218,Mary-Louise Parker
218,Drew Barrymore
219,Joseph Mazzello
219,Brad Renfro
219,Annabella Sciorra
220,Jeffrey Combs
220,Barbara Crampton
220,Jonathan Fuller
222,Chris O'Donnell
222,Minnie Driver
222,Geraldine O'Rawe
223,Brian O'Halloran
223,Jeff Anderson
223,Marilyn Ghigliotti
224,Johnny Depp
224,Marlon Brando
224,Faye Dunaway
225,Michael Douglas
225,Demi Moore
225,Donald Sutherland
227,Wesley Snipes
227,Gary Busey
227,Yancy Butler
228,Dylan McDermott
228,Nancy Travis
228,Quentin Tarantino
229,Sigourney Weaver
229,Ben Kingsley
229,Stuart Wilson
230,Kathy Bates
230,Jennifer Jason Leigh
230,Judy Parfitt
231,Jim Carrey
231,Jeff Daniels
231,Lauren Holly
232,Lung Sihung
232,Yang Kuei-mei
232,Jacklyn Wu Chien-Lien
233,Bruce Greenwood
233,Mia Kirshner
233,Don McKellar
234,Dana Delany
234,Paul Mercurio
234,Rosie O'Donnell
235,Johnny Depp
235,Martin Landau
235,Sarah Jessica Parker
236,Meg Ryan
236,Kevin Kline
236,Timothy Hutton
237,Billy Crystal
237,Debra Winger
237,Joe Mantegna
238,Mimi Rogers
238,Jesse Bradford
238,Bruce Davison
239,Bill Farmer
239,Jason Marsden
239,Rob Paulsen
240,Jeff Goldblum
240,Christine Lahti
240,Alicia Silverstone
241,Matthew Modine
241,Nancy Travis
241,Eric Stoltz
242,Stefano Dionisi
242,Enrico Lo Verso
242,Elsa Zylberstein
243,Doug Stone
243,Kristy Young
243,James Donadio
246,William Gates
246,Arthur Agee
246,Gene Pingatore
247,Melanie Lynskey
247,Kate Winslet
247,Sarah Peirse
248,Sinbad
248,Phil Hartman
248,Jeffrey Jones
249,Gary Oldman
249,Jeroen Krabbé
249,Isabella Rossellini
250,Tom McGowan
250,Aaron Schwartz
250,Shaun Weiss
251,Christopher Lambert
251,John Lone
251,Joan Chen
252,Tim Robbins
252,Meg Ryan
252,Walter Matthau
253,Tom Cruise
253,Brad Pitt
253,Antonio Banderas
254,Nick Nolte
254,Greta Scacchi
254,Thandiwe Newton
255,John G. Brennan
255,Kamal Ahmed
255,Alan Arkin
256,Arnold Schwarzenegger
256,Danny DeVito
256,Emma Thompson
257,Sean Connery
257,Laurence Fishburne
257,Blair Underwood
258,Thomas Ian Nicholas
258,Joss Ackland
258,Art Malik
259,David Caruso
259,Nicolas Cage
259,Samuel L. Jackson
260,Mark Hamill
260,Harrison Ford
260,Carrie Fisher
261,Winona Ryder
261,Trini Alvarado
261,Samantha Mathis
262,Liesel Matthews
262,Eleanor Bron
262,Liam Cunningham
263,Crissy Rock
263,Vladimir Vega
263,Sandie Lavelle
265,Lumi Cavazos
265,Regina Torné
265,Ada Carrasco
266,Brad Pitt
266,Anthony Hopkins
266,Aidan Quinn
267,Damon Wayans
267,Karyn Parsons
267,William Hickey
269,Angel Aviles
269,Seidy López
269,Jacob Vargas
270,Warren Beatty
270,Annette Bening
270,Katharine Hepburn
271,Jessica Lange
271,Halle Berry
271,David Strathairn
272,Nigel Hawthorne
272,Helen Mirren
272,Ian Holm
273,Robert De Niro
273,Kenneth Branagh
273,Tom Hulce
274,Chevy Chase
274,Farrah Fawcett
274,Jonathan Taylor Thomas
275,Steve Martin
275,Madeline Kahn
275,Rita Wilson
276,Melanie Griffith
276,Ed Harris
276,Michael Patrick Carter
277,Mara Wilson
277,Richard Attenborough
277,Dylan McDermott
278,Sarah Jessica Parker
278,Gil Bellows
278,Antonio Banderas
279,Edward James Olmos
279,Jimmy Smits
279,Esai Morales
280,Christian Slater
280,Kevin Bacon
280,Gary Oldman
281,Paul Newman
281,Bruce Willis
281,Melanie Griffith
282,Jodie Foster
282,Liam Neeson
282,Natasha Richardson
283,Sharron Corley
283,Gabriel Casseus
283,Saul Stein
284,Toru Nakamura
284,Chad McQueen
284,Mira Sorvino
285,Craig Fairbrass
285,Elizabeth Hurley
285,Keith Allen
287,Laura San Giacomo
287,Paul Rhys
287,Michael O'Keefe
288,Woody Harrelson
288,Juliette Lewis
288,Robert Downey Jr.
289,Marisa Tomei
289,Robert Downey Jr.
289,Bonnie Hunt
290,Rena Owen
290,Temuera Morrison
290,Mamaengaroa Kerr-Bell
291,Alyssa Milano
291,Johnathon Schaech
291,Xander Berkeley
292,Dustin Hoffman
292,Rene Russo
292,Morgan Freeman
293,Jean Reno
293,Natalie Portman
293,Gary Oldman
294,Marisa Tomei
294,Alfred Molina
294,Anjelica Huston
295,William Baldwin
295,John Leguizamo
295,Erika Eleniak
296,John Travolta
296,Samuel L. Jackson
296,Uma Thurman
298,Lung Sihung
298,Wang Bozhao
298,Deb Snyder
299,Linus Roache
299,Tom Wilkinson
299,Robert Carlyle
300,Ralph Fiennes
300,Rob Morrow
300,John Turturro
301,Youki Kudoh
301,Akira Takayama
301,Tamlyn Tomita
302,Isabelle Adjani
302,Daniel Auteuil
302,Jean-Hugues Anglade
303,Sharon Stone
303,Gene Hackman
303,Russell Crowe
304,Peter Falk
304,D. B. Sweeney
304,Julianne Moore
305,Marcello Mastroianni
305,Sophia Loren
305,Jean-Pierre Cassel
306,Irène Jacob
306,Jean-Louis Trintignant
306,Frédérique Feder
307,Juliette Binoche
307,Benoît Régent
307,Florence Pernel
308,Zbigniew Zamachowski
308,Julie Delpy
308,Janusz Gajos
310,Leslie Nielsen
310,Christopher Lloyd
310,Matt McCoy
311,Darlanne Fluegel
311,James Brolin
311,Martin Neufeld
312,Al Franken
312,Laura San Giacomo
312,Vincent D'Onofrio
313,Jack Palance
313,Howard McGillin
313,Michelle Nicastro
314,Jeni Courtney
314,Eileen Colgan
314,Mick Lally
315,Sylvester Stallone
315,Sharon Stone
315,James Woods
316,James Spader
316,Kurt Russell
316,Jaye Davidson
317,Tim Allen
317,Judge Reinhold
317,Wendy Crewson
318,Tim Robbins
318,Morgan Freeman
318,Bob Gunton
319,Kerry Fox
319,Christopher Eccleston
319,Ewan McGregor
320,Dennis Haysbert
320,Mel Harris
320,Sab Shimono
321,Jorge Perugorría
321,Vladimir Cruz
321,Mirta Ibarra
322,Kevin Spacey
322,Frank Whaley
322,Michelle Forbes
324,Jack Thompson
324,Russell Crowe
324,John Polson
325,Matt Frewer
325,Valerie Mahaffey
325,Lawrence Dane
326,Ge You
326,Gong Li
326,Niu Ben
327,Lori Petty
327,Naomi Watts
327,Malcolm McDowell
328,Billy Zane
328,William Sadler
328,Jada Pinkett Smith
329,Patrick Stewart
329,Jonathan Frakes
329,Brent Spiner
330,Clarence Williams III
330,Joe Torry
330,De'Aundre Bonds
331,Willem Dafoe
331,Miranda Richardson
331,Rosemary Harris
332,Christopher Reeve
332,Kirstie Alley
332,Linda Kozlowski
333,Chris Farley
333,David Spade
333,Brian Dennehy
334,Wallace Shawn
334,Julianne Moore
334,Larry Pine
335,Peter Gallagher
335,Alison Elliott
335,William Fichtner
336,Allen Payne
336,Eddie Griffin
336,Joe Morton
337,Johnny Depp
337,Juliette Lewis
337,Leonardo DiCaprio
338,Denzel Washington
338,Russell Crowe
338,Kelly Lynch
339,Sandra Bullock
339,Bill Pullman
339,Peter Gallagher
340,Elijah Wood
340,Kevin Costner
340,Mare Winningham
341,Sandra Oh
341,Stephen Chang
341,Alannah Ong
342,Toni Collette
342,Bill Hunter
342,Rachel Griffiths
343,Schuyler Fisk
343,Bre Blair
343,Rachael Leigh Cook
344,Jim Carrey
344,Courteney Cox
344,Sean Young
345,Hugo Weaving
345,Guy Pearce
345,Terence Stamp
346,Stephen Dorff
346,Ian Hart
346,Sheryl Lee
347,Peter Coyote
347,Emmanuelle Seigner
347,Hugh Grant
348,John Cusack
348,Chazz Palminteri
348,Dianne Wiest
349,Harrison Ford
349,Willem Dafoe
349,Joaquim de Almeida
350,Brad Renfro
350,Susan Sarandon
350,Tommy Lee Jones
351,Whoopi Goldberg
351,Ray Liotta
351,Tina Majorino
352,Alfre Woodard
352,Delroy Lindo
352,David Patrick Kelly
353,Brandon Lee
353,Rochelle Davis
353,Ernie Hudson
354,Tommy Lee Jones
354,Robert Wuhl
354,Lolita Davidovich
355,John Goodman
355,Elizabeth Perkins
355,Rick Moranis
356,Tom Hanks
356,Robin Wright
356,Gary Sinise
357,Hugh Grant
357,Andie MacDowell
357,Kristin Scott Thomas
358,Omar Epps
358,Kristy Swanson
358,Michael Rapaport
359,Luna Lauren Velez
359,Jon Seda
359,Tomas Melly
360,Nick Nolte
360,Julia Roberts
360,Saul Rubinek
361,Nicolas Cage
361,Bridget Fonda
361,Rosie Perez
362,Jason Scott Lee
362,Cary Elwes
362,Lena Headey
363,Leni Riefenstahl
363,Walter Frentz
363,Horst Kettner
364,Matthew Broderick
364,Moira Kelly
364,Nathan Lane
365,Keanu Reeves
365,Bridget Fonda
365,Chris Isaak
366,Heather Langenkamp
366,Robert Englund
366,Miko Hughes
367,Jim Carrey
367,Peter Greene
367,Cameron Diaz
368,Mel Gibson
368,Jodie Foster
368,James Garner
369,Jennifer Jason Leigh
369,Campbell Scott
369,Matthew Broderick
370,Leslie Nielsen
370,Priscilla Presley
370,George Kennedy
371,Michael Keaton
371,Robert Duvall
371,Glenn Close
372,Winona Ryder
372,Ethan Hawke
372,Janeane Garofalo
373,Nicolas Cage
373,Dennis Hopper
373,Lara Flynn Boyle
374,Macaulay Culkin
374,John Larroquette
374,Edward Herrmann
376,Meryl Streep
376,David Strathairn
376,Kevin Bacon
377,Keanu Reeves
377,Dennis Hopper
377,Sandra Bullock
378,Michael Keaton
378,Geena Davis
378,Bonnie Bedelia
379,Jean-Claude Van Damme
379,Mia Sara
379,Ron Silver
380,Arnold Schwarzenegger
380,Jamie Lee Curtis
380,Tom Arnold
381,Andy García
381,Meg Ryan
381,Tina Majorino
382,Jack Nicholson
382,Michelle Pfeiffer
382,James Spader
383,Kevin Costner
383,Dennis Quaid
383,Gene Hackman
384,Laurence Fishburne
384,Ellen Barkin
384,Frank Langella
385,Albert Finney
385,Brenda Fricker
385,Michael Gambon
386,Stephen Dorff
386,Reese Witherspoon
386,Jake Busey
387,Keenen Ivory Wayans
387,Charles S. Dutton
387,Jada Pinkett Smith
388,James Andrews
388,Mary Beth Aylesworth
388,Mike Barbour
389,Gérard Depardieu
389,Fanny Ardant
389,Fabrice Luchini
390,Tura Satana
390,Haji
390,Lori Williams
391,Allen Payne
391,Jada Pinkett Smith
391,Bokeem Woodbine
393,Jean-Claude Van Damme
393,Raúl Juliá
393,Ming-Na Wen
405,Christopher Lambert
405,Mario Van Peebles
405,Deborah Kara Unger
406,Nicholas Turturro
406,Anthony DeSando
406,Libby Langdon
407,Sam Neill
407,Julie Carmen
407,Jürgen Prochnow
408,Luke Perry
408,Stephen Baldwin
408,Cynthia Geary
409,Duane Martin
409,Tupac Shakur
409,Bernie Mac
410,Anjelica Huston
410,Raúl Juliá
410,Christopher Lloyd
412,Daniel Day-Lewis
412,Michelle Pfeiffer
412,Winona Ryder
413,Brendan Fraser
413,Steve Buscemi
413,Adam Sandler
414,Kevin Bacon
414,Charles Gitonga Maina
414,Yolanda Vazquez
415,Richard Dreyfuss
415,Emilio Estevez
415,Rosie O'Donnell
416,Madeleine Stowe
416,Mary Stuart Masterson
416,Andie MacDowell
417,Taylor Nichols
417,Chris Eigeman
417,Tushka Bergen
418,Robin Williams
418,Theresa Russell
418,Maudie Johnson
419,Jim Varney
419,Diedrich Bader
419,Erika Eleniak
420,Eddie Murphy
420,Judge Reinhold
420,Hector Elizondo
421,Alan Cumming
421,Docs Keepin Time
421,Sean Bean
422,Madeleine Stowe
422,Aidan Quinn
422,James Remar
423,Jeff Bridges
423,Tommy Lee Jones
423,Suzy Amis
424,Nick Nolte
424,Shaquille O'Neal
424,Mary McDonnell
425,Jessica Lange
425,Tommy Lee Jones
425,Powers Boothe
426,Terry Kinney
426,Meg Tilly
426,Gabrielle Anwar
427,Julian Sands
427,Sherilyn Fenn
427,Bill Paxton
428,Robert De Niro
428,Chazz Palminteri
428,Lillo Brancato
429,Chris Elliott
429,Ritch Brinkley
429,James Gammon
430,Gabriel Olds
430,Jason Priestley
430,Jerry O'Connell
431,Al Pacino
431,Sean Penn
431,Penelope Ann Miller
432,Billy Crystal
432,Daniel Stern
432,Jon Lovitz
433,Dana Carvey
433,Valeria Golino
433,James Earl Jones
434,Sylvester Stallone
434,John Lithgow
434,Michael Rooker
435,Dan Aykroyd
435,Jane Curtin
435,Michael McKean
436,Bruce Willis
436,Jane March
436,Rubén Blades
437,Chevy Chase
437,Jack Palance
437,Dianne Wiest
438,Woody Harrelson
438,Kiefer Sutherland
438,Dylan McDermott
440,Kevin Kline
440,Sigourney Weaver
440,Frank Langella
441,Jason London
441,Matthew McConaughey
441,Joey Lauren Adams
442,Sylvester Stallone
442,Wesley Snipes
442,Sandra Bullock
444,Uma Thurman
444,Lorraine Bracco
444,Pat Morita
445,Armand Assante
445,Sherilyn Fenn
445,Kate Nelligan
446,Leslie Cheung Kwok-Wing
446,Zhang Fengyi
446,Gong Li
448,Jeff Bridges
448,Isabella Rossellini
448,Rosie Perez
449,Larry B. Scott
449,Mark Christopher Lawrence
449,Rusty Cundieff
450,Joe Pesci
450,Brendan Fraser
450,Moira Kelly
451,Meg Ryan
451,Dennis Quaid
451,James Caan
452,Mia Farrow
452,Joan Plowright
452,Natasha Richardson
453,Michael J. Fox
453,Gabrielle Anwar
453,Anthony Higgins
454,Tom Cruise
454,Jeanne Tripplehorn
454,Gene Hackman
455,Jason James Richter
455,Keiko
455,Lori Petty
456,Sean Nelson
456,Giancarlo Esposito
456,Samuel L. Jackson
457,Harrison Ford
457,Tommy Lee Jones
457,Joe Pantoliano
458,Jason Patric
458,Gene Hackman
458,Robert Duvall
459,Alec Baldwin
459,Kim Basinger
459,Michael Madsen
460,Macaulay Culkin
460,Ted Danson
460,Glenne Headly
461,Guinevere Turner
461,V.S. Brodie
461,T. Wendy McMillan
464,Jean-Claude Van Damme
464,Arnold Vosloo
464,Lance Henriksen
466,Charlie Sheen
466,Lloyd Bridges
466,Valeria Golino
467,Dana Delany
467,Kim Cattrall
467,Cynthia Stevenson
468,Hugh Grant
468,Tara Fitzgerald
468,Colm Meaney
469,Meryl Streep
469,Glenn Close
469,Jeremy Irons
470,Christopher Reid
470,Christopher Martin
470,Angela Means
471,Tim Robbins
471,Jennifer Jason Leigh
471,Paul Newman
472,Nick Nolte
472,Whittni Wright
472,Albert Brooks
473,Pauly Shore
473,Andy Dick
473,Lori Petty
474,Clint Eastwood
474,John Malkovich
474,Rene Russo
475,Daniel Day-Lewis
475,Pete Postlethwaite
475,Emma Thompson
476,Larenz Tate
476,Joe Morton
476,Suzzanne Douglas
477,Angela Bassett
477,Laurence Fishburne
477,Vanessa Bell Calloway
478,Joe Pesci
478,Christian Slater
478,Victoria Abril
479,Emilio Estevez
479,Cuba Gooding Jr.
479,Denis Leary
480,Sam Neill
480,Laura Dern
480,Jeff Goldblum
481,Brad Pitt
481,David Duchovny
481,Juliette Lewis
482,Eric Stoltz
482,Julie Delpy
482,Jean-Hugues Anglade
484,Tom Guiry
484,Helen Slater
484,Jon Tenney
485,Arnold Schwarzenegger
485,Austin O'Brien
485,Bridgette Wilson-Sampras
486,Michael J. Fox
486,Christina Vidal
486,Nathan Lane
487,Paul Hogan
487,Beverly D'Angelo
487,Cuba Gooding Jr.
488,Jeremy Irons
488,John Lone
488,Barbara Sukowa
489,Whoopi Goldberg
489,Ted Danson
489,Will Smith
490,Alec Baldwin
490,Nicole Kidman
490,Bill Pullman
491,Mel Gibson
491,Nick Stahl
491,Margaret Whitton
492,Woody Allen
492,Diane Keaton
492,Jerry Adler
493,Tyrin Turner
493,Larenz Tate
493,Glenn Plummer
494,Kurt Russell
494,Steven Seagal
494,Halle Berry
495,Eiko Matsuda
495,Tatsuya Fuji
495,Aoi Nakajima
496,Karen Sillas
496,Tom Noonan
497,Emma Thompson
497,Kenneth Branagh
