year_film,year_ceremony,ceremony,category,nominee,film,winner
1965,1966,23,New Star Of The Year - Actress,Geraldine Chaplin,Doctor Zhivago,False
1983,1984,41,Best Performance by an Actor in a Motion Picture - Drama,Robert Duvall,Tender Mercies,True
1983,1984,41,Best Performance by an Actress in a Supporting Role in any Motion Picture,Tess Harper,Tender Mercies,False
1983,1984,41,Best Director - Motion Picture,Bruce Beresford,Tender Mercies,False
1983,1984,41,Best Original Song - Motion Picture,"Over You, Austin Roberts, Bobby Hart",Tender Mercies,False
1993,1994,51,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Matthew Modine,And the Band Played On,False
1986,1987,44,Best Performance by an Actor in a Supporting Role in any Motion Picture,Dennis Hopper,Blue Velvet,False
1986,1987,44,Best Screenplay - Motion Picture,David Lynch,Blue Velvet,False
1982,1983,40,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jim Metzler,Tex,False
1991,1992,49,Best Screenplay - Motion Picture,Lawrence Kasdan,Grand Canyon,False
1966,1967,24,Best Performance by an Actress in a Motion Picture - Drama,Elizabeth Taylor,Who's Afraid of Virginia Woolf?,False
1966,1967,24,Best Performance by an Actor in a Motion Picture - Drama,Richard Burton,Who's Afraid of Virginia Woolf?,False
1966,1967,24,Best Performance by an Actress in a Supporting Role in any Motion Picture,Sandy Dennis,Who's Afraid of Virginia Woolf?,False
1966,1967,24,Best Performance by an Actor in a Supporting Role in any Motion Picture,George Segal,Who's Afraid of Virginia Woolf?,False
1966,1967,24,Best Director - Motion Picture,Mike Nichols,Who's Afraid of Virginia Woolf?,False
1966,1967,24,Best Screenplay - Motion Picture,Ernest Lehman,Who's Afraid of Virginia Woolf?,False
1967,1968,25,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Rex Harrison,Doctor Dolittle,False
1967,1968,25,Best Performance by an Actor in a Supporting Role in any Motion Picture,Richard Attenborough,Doctor Dolittle,True
1967,1968,25,Best Original Score - Motion Picture,Leslie Bricusse,Doctor Dolittle,False
1967,1968,25,Best Original Song - Motion Picture,"Talk To The Animals, Leslie Bricusse",Doctor Dolittle,False
1968,1969,26,Best Performance by an Actress in a Motion Picture - Drama,Mia Farrow,Rosemary's Baby,False
1968,1969,26,Best Performance by an Actress in a Supporting Role in any Motion Picture,Ruth Gordon,Rosemary's Baby,True
1968,1969,26,Best Screenplay - Motion Picture,Roman Polanski,Rosemary's Baby,False
1968,1969,26,Best Original Score - Motion Picture,Christopher Komeda,Rosemary's Baby,False
1976,1977,34,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Barbara Harris,Family Plot,False
1972,1973,30,Best Director - Motion Picture,Alfred Hitchcock,Frenzy,False
1972,1973,30,Best Screenplay - Motion Picture,Anthony Shaffer,Frenzy,False
1972,1973,30,Best Original Score - Motion Picture,Ron Goodwin,Frenzy,False
1987,1988,45,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Holly Hunter,Broadcast News,False
1987,1988,45,Best Performance by an Actor in a Motion Picture - Musical or Comedy,William Hurt,Broadcast News,False
1987,1988,45,Best Director - Motion Picture,James L. Brooks,Broadcast News,False
1987,1988,45,Best Screenplay - Motion Picture,James L. Brooks,Broadcast News,False
1988,1989,46,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Melanie Griffith,Working Girl,True
1988,1989,46,Best Performance by an Actress in a Supporting Role in any Motion Picture,Sigourney Weaver,Working Girl,True
1988,1989,46,Best Director - Motion Picture,Mike Nichols,Working Girl,False
1988,1989,46,Best Screenplay - Motion Picture,Kevin Wade,Working Girl,False
1988,1989,46,Best Original Song - Motion Picture,"Let the River Run, Carly Simon",Working Girl,True
1988,1989,46,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Michelle Pfeiffer,Married to the Mob,False
1998,1999,56,Best Performance by an Actress in a Motion Picture - Drama,Meryl Streep,One True Thing,False
1990,1991,48,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Johnny Depp,Edward Scissorhands,False
1975,1976,33,Best Performance by an Actress in a Supporting Role in any Motion Picture,Ronee Blakley,Nashville,False
1975,1976,33,Best Performance by an Actress in a Supporting Role in any Motion Picture,Geraldine Chaplin,Nashville,False
1975,1976,33,Best Performance by an Actress in a Supporting Role in any Motion Picture,Barbara Harris,Nashville,False
1975,1976,33,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lily Tomlin,Nashville,False
1975,1976,33,Best Performance by an Actor in a Supporting Role in any Motion Picture,Henry Gibson,Nashville,False
1975,1976,33,Best Director - Motion Picture,Robert Altman,Nashville,False
1975,1976,33,Best Screenplay - Motion Picture,Joan Tewkesbury,Nashville,False
1975,1976,33,Best Original Song - Motion Picture,"I'm Easy, Keith Carradine",Nashville,True
1975,1976,33,New Star Of The Year - Actress,Ronee Blakley,Nashville,False
1975,1976,33,New Star Of The Year - Actress,Lily Tomlin,Nashville,False
1986,1987,44,Best Performance by an Actress in a Motion Picture - Drama,Marlee Matlin,Children of a Lesser God,True
1986,1987,44,Best Performance by an Actor in a Motion Picture - Drama,William Hurt,Children of a Lesser God,False
1998,1999,56,Best Screenplay - Motion Picture,Todd Solondz,Happiness,False
1998,1999,56,Best Performance by an Actor in a Motion Picture - Drama,Ian McKellen,Gods and Monsters,False
1998,1999,56,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lynn Redgrave,Gods and Monsters,True
1998,1999,56,Best Performance by an Actress in a Motion Picture - Drama,Cate Blanchett,Elizabeth,True
1998,1999,56,Best Director - Motion Picture,Shekhar Kapur,Elizabeth,False
1985,1986,43,Best Performance by an Actor in a Motion Picture - Drama,Jon Voight,Runaway Train,True
1985,1986,43,Best Performance by an Actor in a Supporting Role in any Motion Picture,Eric Roberts,Runaway Train,False
1986,1987,44,Best Performance by an Actor in a Motion Picture - Drama,Bob Hoskins,Mona Lisa,True
1986,1987,44,Best Performance by an Actress in a Supporting Role in any Motion Picture,Cathy Tyson,Mona Lisa,False
1986,1987,44,Best Screenplay - Motion Picture,Neil Jordan,Mona Lisa,False
1985,1986,43,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Rosanna Arquette,Desperately Seeking Susan,False
1998,1999,56,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jane Horrocks,Little Voice,False
1998,1999,56,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Michael Caine,Little Voice,True
1998,1999,56,Best Performance by an Actress in a Supporting Role in any Motion Picture,Brenda Blethyn,Little Voice,False
1998,1999,56,Best Performance by an Actor in a Supporting Role in any Motion Picture,Bill Murray,Rushmore,False
1998,1999,56,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Gwyneth Paltrow,Shakespeare in Love,True
1998,1999,56,Best Performance by an Actress in a Supporting Role in any Motion Picture,Judi Dench,Shakespeare in Love,False
1998,1999,56,Best Performance by an Actor in a Supporting Role in any Motion Picture,Geoffrey Rush,Shakespeare in Love,False
1998,1999,56,Best Director - Motion Picture,John Madden,Shakespeare in Love,False
1998,1999,56,Best Screenplay - Motion Picture,Marc Norman,Shakespeare in Love,True
1984,1985,42,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Kathleen Turner,Romancing the Stone,True
1982,1983,40,Best Original Song - Motion Picture,"Eye of the Tiger, Survivor, Jim Peterik, Frankie Sullivan III",Rocky III,False
1986,1987,44,Best Performance by an Actress in a Motion Picture - Drama,Farrah Fawcett,Extremities,False
1998,1999,56,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Meg Ryan,You've Got Mail,False
1998,1999,56,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Robin Williams,Patch Adams,False
1998,1999,56,Best Performance by an Actress in a Motion Picture - Drama,Susan Sarandon,Stepmom,False
1998,1999,56,Best Performance by an Actress in a Motion Picture - Drama,Emily Watson,Hilary and Jackie,False
1986,1987,44,Best Original Song - Motion Picture,"Sweet Freedom, Rod Temperton",Running Scared,False
1986,1987,44,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Danny DeVito,Ruthless People,False
1986,1987,44,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Kathleen Turner,Peggy Sue Got Married,False
1986,1987,44,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Paul Hogan,Crocodile Dundee,True
1986,1987,44,Best Performance by an Actress in a Supporting Role in any Motion Picture,Linda Kozlowski ,Crocodile Dundee,False
1986,1987,44,Best Original Song - Motion Picture,"They Don't Make Them Like They Used To, Burt Bacharach, Carole Bayer Sager",Tough Guys,False
1998,1999,56,Best Original Song - Motion Picture,"""The Flame Still Burns"", Mick Jones, Marti Frederiksen, Chris Difford",Still Crazy,False
1982,1983,40,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Henry Winkler,Night Shift,False
1970,1971,28,Best Performance by an Actress in a Supporting Role in any Motion Picture,Maureen Stapleton,Airport,True
1970,1971,28,Best Performance by an Actor in a Supporting Role in any Motion Picture,George Kennedy,Airport,False
1970,1971,28,Best Original Score - Motion Picture,Alfred Newman,Airport,False
1974,1975,32,New Star Of The Year - Actress,Helen Reddy,Airport 1975,False
1974,1975,32,Best Original Score - Motion Picture,John Williams,Earthquake,False
1999,2000,57,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Robert De Niro,Analyze This,False
1999,2000,57,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Reese Witherspoon,Election,False
1990,1991,48,Best Performance by an Actor in a Supporting Role in any Motion Picture,Al Pacino,Dick Tracy,False
1990,1991,48,Best Original Song - Motion Picture,"Sooner or Later (I Always Get My Man), Stephen Sondheim",Dick Tracy,False
1990,1991,48,Best Original Song - Motion Picture,"What Can You Lose?, Stephen Sondheim",Dick Tracy,False
1978,1979,36,Best Original Score - Motion Picture,John Williams,Superman,False
1999,2000,57,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Julia Roberts,Notting Hill,False
1999,2000,57,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Hugh Grant,Notting Hill,False
1999,2000,57,Best Original Song - Motion Picture,"""Beautiful Stranger"", Madonna, William Orbit",Austin Powers: The Spy Who Shagged Me,False
1999,2000,57,Best Original Song - Motion Picture,"""You'll Be In My Heart"", Phil Collins",Tarzan,True
1999,2000,57,Best Original Score - Motion Picture,Jocelyn Pook,Eyes Wide Shut,False
1960,1961,18,Best Performance by an Actor in a Motion Picture - Drama,Laurence Olivier,Spartacus,False
1960,1961,18,Best Performance by an Actor in a Supporting Role in any Motion Picture,Woody Strode,Spartacus,False
1960,1961,18,Best Performance by an Actor in a Supporting Role in any Motion Picture,Peter Ustinov,Spartacus,False
1960,1961,18,Best Director - Motion Picture,Stanley Kubrick,Spartacus,False
1960,1961,18,Best Original Score - Motion Picture,Alex North,Spartacus,False
1962,1963,20,Best Performance by an Actress in a Motion Picture - Drama,Shelley Winters,Lolita,False
1962,1963,20,Best Performance by an Actor in a Motion Picture - Drama,James Mason,Lolita,False
1962,1963,20,Best Performance by an Actor in a Supporting Role in any Motion Picture,Peter Sellers,Lolita,False
1962,1963,20,Best Director - Motion Picture,Stanley Kubrick,Lolita,False
1962,1963,20,New Star Of The Year - Actress,Sue Lyon,Lolita,True
1975,1976,33,Best Director - Motion Picture,Stanley Kubrick,Barry Lyndon,False
1986,1987,44,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Sissy Spacek,Crimes of the Heart,True
1986,1987,44,Best Original Score - Motion Picture,Miles Goodman,Little Shop of Horrors,False
1987,1988,45,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Bette Midler,Outrageous Fortune,False
1982,1983,40,Best Performance by an Actress in a Motion Picture - Drama,Jessica Lange,Frances,False
1982,1983,40,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kim Stanley,Frances,False
1978,1979,36,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Warren Beatty,Heaven Can Wait,True
1978,1979,36,Best Performance by an Actress in a Supporting Role in any Motion Picture,Dyan Cannon,Heaven Can Wait,True
1988,1989,46,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Tom Hanks,Big,True
1999,2000,57,Best Performance by an Actress in a Motion Picture - Drama,Annette Bening,American Beauty,False
1999,2000,57,Best Performance by an Actor in a Motion Picture - Drama,Kevin Spacey,American Beauty,False
1999,2000,57,Best Director - Motion Picture,Sam Mendes,American Beauty,True
1999,2000,57,Best Screenplay - Motion Picture,Alan Ball,American Beauty,True
1999,2000,57,Best Original Score - Motion Picture,Thomas Newman,American Beauty,False
1972,1973,30,Best Performance by an Actor in a Motion Picture - Drama,Jon Voight,Deliverance,False
1972,1973,30,Best Director - Motion Picture,John Boorman,Deliverance,False
1972,1973,30,Best Screenplay - Motion Picture,James Dickey,Deliverance,False
1972,1973,30,Best Original Song - Motion Picture,"Dueling Banjos, Arthur Smith, Eric Weissberg",Deliverance,False
1975,1976,33,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Ann-Margret,Tommy,True
1975,1976,33,New Star Of The Year - Actor,Roger Daltrey,Tommy,False
1999,2000,57,Best Performance by an Actress in a Motion Picture - Drama,Hilary Swank,Boys Don't Cry,True
1999,2000,57,Best Performance by an Actress in a Supporting Role in any Motion Picture,Chloë Sevigny,Boys Don't Cry,False
1983,1984,41,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Tom Cruise,Risky Business,False
1981,1982,39,New Star Of The Year,Kathleen Turner,Body Heat,False
1986,1987,44,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Matthew Broderick,Ferris Bueller's Day Off,False
1981,1982,39,Best Performance by an Actress in a Motion Picture - Drama,Diane Keaton,Reds,False
1981,1982,39,Best Performance by an Actor in a Motion Picture - Drama,Warren Beatty,Reds,False
1981,1982,39,Best Performance by an Actress in a Supporting Role in any Motion Picture,Maureen Stapleton,Reds,False
1981,1982,39,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jack Nicholson,Reds,False
1981,1982,39,Best Director - Motion Picture,Warren Beatty,Reds,True
1981,1982,39,Best Screenplay - Motion Picture,Warren Beatty,Reds,False
1978,1979,36,Best Director - Motion Picture,Terrence Malick,Days of Heaven,False
1958,1959,16,New Star Of The Year - Actress,France Nuyen,South Pacific,False
1958,1959,16,Actress In A Leading Role - Musical Or Comedy,Mitzi Gaynor,South Pacific,False
1983,1984,41,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jennifer Beals,Flashdance,False
1983,1984,41,Best Original Score - Motion Picture,Giorgio Moroder,Flashdance,True
1983,1984,41,Best Original Song - Motion Picture,"Flashdance… What a Feeling, Giorgio Moroder, Keith Forsey, Irene Cara",Flashdance,True
1983,1984,41,Best Original Song - Motion Picture,"Maniac, Michael Sembello, Dennis Matkosky",Flashdance,False
1979,1980,37,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Roy Scheider,All That Jazz,False
1980,1981,38,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Paul Le Mat,Melvin and Howard,False
1980,1981,38,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mary Steenburgen,Melvin and Howard,True
1980,1981,38,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jason Robards Jr.,Melvin and Howard,False
1981,1982,39,Best Original Song - Motion Picture,"For Your Eyes Only, Bill Conti, Mick Leeson, Sheena Easton",For Your Eyes Only,False
1999,2000,57,Best Performance by an Actress in a Motion Picture - Drama,Meryl Streep,Music of the Heart,False
1999,2000,57,Best Performance by an Actress in a Supporting Role in any Motion Picture,Cameron Diaz,Being John Malkovich,False
1999,2000,57,Best Performance by an Actress in a Supporting Role in any Motion Picture,Catherine Keener,Being John Malkovich,False
1999,2000,57,Best Screenplay - Motion Picture,Charlie Kaufman,Being John Malkovich,False
1961,1962,19,Samuel Goldwyn International Award,Japan,Yojimbo,False
1970,1971,28,Best Performance by an Actor in a Supporting Role in any Motion Picture,Chief Dan George,Little Big Man,False
1983,1984,41,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Eddie Murphy,Trading Places,False
1991,1992,49,Best Original Score - Motion Picture,Patrick Doyle,Dead Again,False
1999,2000,57,Best Performance by an Actress in a Supporting Role in any Motion Picture,Natalie Portman,Anywhere But Here,False
1988,1989,46,Best Performance by an Actor in a Motion Picture - Drama,Edward James Olmos,Stand and Deliver,False
1988,1989,46,Best Performance by an Actor in a Supporting Role in any Motion Picture,Lou Diamond Phillips,Stand and Deliver,False
1987,1988,45,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Cher,Moonstruck,True
1987,1988,45,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Nicolas Cage,Moonstruck,False
1987,1988,45,Best Performance by an Actress in a Supporting Role in any Motion Picture,Olympia Dukakis,Moonstruck,True
1987,1988,45,Best Screenplay - Motion Picture,John Patrick Shanley,Moonstruck,False
1950,1951,8,Best Performance by an Actor in a Motion Picture - Drama,James Stewart,Harvey,False
1950,1951,8,Best Performance by an Actress in a Supporting Role in any Motion Picture,Josephine Hull,Harvey,True
1957,1958,15,Best Performance by an Actor in a Motion Picture - Musical or Comedy,David Niven,My Man Godfrey,False
1975,1976,33,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Julie Christie,Shampoo,False
1975,1976,33,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Goldie Hawn,Shampoo,False
1975,1976,33,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Warren Beatty,Shampoo,False
1975,1976,33,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lee Grant,Shampoo,False
1987,1988,45,Best Performance by an Actress in a Motion Picture - Drama,Glenn Close,Fatal Attraction,False
1987,1988,45,Best Performance by an Actress in a Supporting Role in any Motion Picture,Anne Archer,Fatal Attraction,False
1987,1988,45,Best Director - Motion Picture,Adrian Lyne,Fatal Attraction,False
1988,1989,46,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Robert De Niro,Midnight Run,False
1990,1991,48,Best Performance by an Actor in a Motion Picture - Drama,Robin Williams,Awakenings,False
1984,1985,42,Best Performance by an Actress in a Motion Picture - Drama,Sally Field,Places in the Heart,True
1984,1985,42,Best Screenplay - Motion Picture,Robert Benton,Places in the Heart,False
1999,2000,57,Best Original Song - Motion Picture,"When She Loved Me, Randy Newman",Toy Story 2,False
1999,2000,57,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Sean Penn,Sweet and Lowdown,False
1999,2000,57,Best Performance by an Actress in a Supporting Role in any Motion Picture,Samantha Morton,Sweet and Lowdown,False
1999,2000,57,Best Original Score - Motion Picture,George Fenton,Anna and the King,False
1999,2000,57,Best Original Song - Motion Picture,"""How Can I Not Love You"", Kenneth 'Babyface' Edmonds, George Fenton, Robert Kraft",Anna and the King,False
1999,2000,57,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tom Cruise,Magnolia,True
1999,2000,57,Best Original Song - Motion Picture,"""Save Me"", Aimee Mann",Magnolia,False
1971,1972,29,Best Performance by an Actor in a Motion Picture - Drama,Jack Nicholson,Carnal Knowledge,False
1971,1972,29,Best Performance by an Actress in a Supporting Role in any Motion Picture,Ann-Margret,Carnal Knowledge,True
1971,1972,29,Best Performance by an Actor in a Supporting Role in any Motion Picture,Art Garfunkel,Carnal Knowledge,False
1969,1970,27,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jack Nicholson,Easy Rider,False
1999,2000,57,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jim Carrey,Man on the Moon,True
1999,2000,57,Best Original Score - Motion Picture,John Williams,Angela's Ashes,False
1973,1974,31,Best Performance by an Actor in a Motion Picture - Drama,Steve McQueen,Papillon,False
1970,1971,28,Best Performance by an Actor in a Motion Picture - Drama,Jack Nicholson,Five Easy Pieces,False
1970,1971,28,Best Performance by an Actress in a Supporting Role in any Motion Picture,Karen Black,Five Easy Pieces,True
1970,1971,28,Best Director - Motion Picture,Bob Rafelson,Five Easy Pieces,False
1970,1971,28,Best Screenplay - Motion Picture,Carole Eastman,Five Easy Pieces,False
1984,1985,42,Best Original Song - Motion Picture,"Against All Odds (Take a Look At Me Now), Phil Collins",Against All Odds,False
1992,1993,50,Best Performance by an Actor in a Motion Picture - Drama,Denzel Washington,Malcolm X,False
1992,1993,50,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Whoopi Goldberg,Sister Act,False
1985,1986,43,Best Performance by an Actress in a Motion Picture - Drama,Anne Bancroft,Agnes of God,False
1985,1986,43,Best Performance by an Actress in a Supporting Role in any Motion Picture,Meg Tilly,Agnes of God,True
1992,1993,50,Best Performance by an Actor in a Motion Picture - Drama,Al Pacino,Scent of a Woman,True
1992,1993,50,Best Performance by an Actor in a Supporting Role in any Motion Picture,Chris O'Donnell,Scent of a Woman,False
1992,1993,50,Best Screenplay - Motion Picture,Bo Goldman,Scent of a Woman,True
1992,1993,50,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Meryl Streep,Death Becomes Her,False
1992,1993,50,Best Performance by an Actress in a Motion Picture - Drama,Emma Thompson,Howards End,True
1992,1993,50,Best Director - Motion Picture,James Ivory,Howards End,False
1992,1993,50,Best Screenplay - Motion Picture,Ruth Prawer Jhabvala,Howards End,False
2000,2001,58,Best Performance by an Actor in a Motion Picture - Drama,Michael Douglas,Wonder Boys,False
2000,2001,58,Best Screenplay - Motion Picture,Steve Kloves,Wonder Boys,False
2000,2001,58,Best Original Song - Motion Picture,"""Things Have Changed"", Bob Dylan",Wonder Boys,True
1961,1962,19,Best Performance by an Actress in a Motion Picture - Drama,Natalie Wood,Splendor in the Grass,False
1961,1962,19,Best Performance by an Actor in a Motion Picture - Drama,Warren Beatty,Splendor in the Grass,False
1961,1962,19,New Star Of The Year - Actor,Warren Beatty,Splendor in the Grass,True
1950,1951,8,Best Performance by an Actress in a Motion Picture - Drama,Judy Holliday,Born Yesterday,False
1950,1951,8,Best Director - Motion Picture,George Cukor,Born Yesterday,False
1950,1951,8,Actress In A Leading Role - Musical Or Comedy,Judy Holliday,Born Yesterday,True
1979,1980,37,Best Director - Motion Picture,Peter Yates,Breaking Away,False
1979,1980,37,Best Screenplay - Motion Picture,Steve Tesich,Breaking Away,False
1979,1980,37,New Star Of The Year - Actor,Dennis Christopher,Breaking Away,False
1988,1989,46,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Susan Sarandon,Bull Durham,False
1988,1989,46,Best Original Song - Motion Picture,"A Woman Loves a Man, Dan Hartman, Charlie Midnight",Bull Durham,False
1975,1976,33,Best Performance by an Actor in a Motion Picture - Drama,Al Pacino,Dog Day Afternoon,False
1975,1976,33,Best Performance by an Actor in a Supporting Role in any Motion Picture,Charles Durning,Dog Day Afternoon,False
1975,1976,33,Best Performance by an Actor in a Supporting Role in any Motion Picture,John Cazale,Dog Day Afternoon,False
1975,1976,33,Best Director - Motion Picture,Sidney Lumet,Dog Day Afternoon,False
1975,1976,33,Best Screenplay - Motion Picture,Frank Pierson,Dog Day Afternoon,False
1975,1976,33,New Star Of The Year - Actor,Chris Sarandon,Dog Day Afternoon,False
1973,1974,31,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Richard Dreyfuss,American Graffiti,False
1973,1974,31,Best Director - Motion Picture,George Lucas,American Graffiti,False
1973,1974,31,New Star Of The Year - Actor,Paul Le Mat,American Graffiti,True
1991,1992,49,Best Performance by an Actor in a Motion Picture - Drama,Kevin Costner,JFK,False
1991,1992,49,Best Director - Motion Picture,Oliver Stone,JFK,True
1991,1992,49,Best Screenplay - Motion Picture,"Oliver Stone, Zachary Sklar",JFK,False
1989,1990,47,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Meryl Streep,She-Devil,False
2000,2001,58,Best Performance by an Actress in a Motion Picture - Drama,Julia Roberts,Erin Brockovich,True
2000,2001,58,Best Performance by an Actor in a Supporting Role in any Motion Picture,Albert Finney,Erin Brockovich,False
2000,2001,58,Best Director - Motion Picture,Steven Soderbergh,Erin Brockovich,False
1991,1992,49,Best Performance by an Actress in a Motion Picture - Drama,Geena Davis,Thelma & Louise,False
1991,1992,49,Best Performance by an Actress in a Motion Picture - Drama,Susan Sarandon,Thelma & Louise,False
1991,1992,49,Best Screenplay - Motion Picture,Callie Khouri,Thelma & Louise,True
1963,1964,21,Best Performance by an Actor in a Motion Picture - Drama,Paul Newman,Hud,False
1963,1964,21,Best Performance by an Actress in a Supporting Role in any Motion Picture,Patricia Neal,Hud,False
1963,1964,21,Best Performance by an Actor in a Supporting Role in any Motion Picture,Melvyn Douglas,Hud,False
1963,1964,21,Best Director - Motion Picture,Martin Ritt,Hud,False
1977,1978,35,Best Director - Motion Picture,Steven Spielberg,Close Encounters of the Third Kind,False
1977,1978,35,Best Screenplay - Motion Picture,Steven Spielberg,Close Encounters of the Third Kind,False
1977,1978,35,Best Original Score - Motion Picture,John Williams,Close Encounters of the Third Kind,False
2000,2001,58,Best Performance by an Actor in a Motion Picture - Musical or Comedy,John Cusack,High Fidelity,False
1991,1992,49,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Dustin Hoffman,Hook,False
1969,1970,27,Best Performance by an Actor in a Motion Picture - Drama,John Wayne,True Grit,True
1969,1970,27,Best Original Song - Motion Picture,"True Grit, Elmer Bernstein, Don Black",True Grit,False
1969,1970,27,New Star Of The Year - Actor,Glen Campbell,True Grit,False
1988,1989,46,Best Performance by an Actress in a Motion Picture - Drama,Shirley MacLaine,Madame Sousatzka,True
1988,1989,46,Best Original Score - Motion Picture,Gerald Gouriet,Madame Sousatzka,False
1978,1979,36,Best Performance by an Actor in a Motion Picture - Drama,Brad Davis,Midnight Express,False
1978,1979,36,Best Performance by an Actor in a Supporting Role in any Motion Picture,John Hurt,Midnight Express,True
1978,1979,36,Best Director - Motion Picture,Alan Parker,Midnight Express,False
1978,1979,36,Best Screenplay - Motion Picture,Oliver Stone,Midnight Express,True
1978,1979,36,Best Original Score - Motion Picture,Giorgio Moroder,Midnight Express,True
1978,1979,36,New Star Of The Year - Actress,Irene Miracle,Midnight Express,True
1978,1979,36,New Star Of The Year - Actor,Brad Davis,Midnight Express,True
1990,1991,48,Best Performance by an Actress in a Motion Picture - Drama,Kathy Bates,Misery,True
1992,1993,50,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Billy Crystal,Mr. Saturday Night,False
1992,1993,50,Best Performance by an Actor in a Supporting Role in any Motion Picture,David Paymer,Mr. Saturday Night,False
1985,1986,43,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Sally Field,Murphy's Romance,False
1985,1986,43,Best Performance by an Actor in a Motion Picture - Musical or Comedy,James Garner,Murphy's Romance,False
1976,1977,34,Best Performance by an Actress in a Motion Picture - Drama,Faye Dunaway,Network,True
1976,1977,34,Best Performance by an Actor in a Motion Picture - Drama,Peter Finch,Network,True
1976,1977,34,Best Director - Motion Picture,Sidney Lumet,Network,True
1976,1977,34,Best Screenplay - Motion Picture,Paddy Chayefsky,Network,True
2000,2001,58,Best Original Song - Motion Picture,"""When You Come Back To Me Again"", Garth Brooks, Jenny Yates",Frequency,False
1981,1982,39,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Liza Minnelli,Arthur,False
1981,1982,39,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Dudley Moore,Arthur,True
1981,1982,39,Best Performance by an Actor in a Supporting Role in any Motion Picture,John Gielgud,Arthur,True
1981,1982,39,Best Original Song - Motion Picture,"Arthur's Theme (Best That You Can Do), Carole Bayer Sager, Burt Bacharach, Peter Allen",Arthur,True
1989,1990,47,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Steve Martin,Parenthood,False
1989,1990,47,Best Performance by an Actress in a Supporting Role in any Motion Picture,Dianne Wiest,Parenthood,False
1989,1990,47,Best Original Song - Motion Picture,"I Love To See You Smile, Randy Newman",Parenthood,False
1972,1973,30,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Liza Minnelli,Cabaret,True
1972,1973,30,Best Performance by an Actress in a Supporting Role in any Motion Picture,Marisa Berenson,Cabaret,False
